-7847.87 18811.7 -7630.01 1259.23 11367.2 -6107.91 2298.69 359.991 11071.7 -1836.24 -5791.28 -9596.33 7426.75 5285.61 3026.28 16152.4 -8497.87 
2720.07 -6519.31 2644.24 -436.014 -3938.88 2116.64 -796.333 -124.021 -3836.13 636.88 2007.51 3324.76 -2574.44 -1831.51 -1049.95 -5596.88 2945.02 
-3324.29 7969.36 -3232.55 533.914 4815.35 -2587.14 974.599 152.883 4690.83 -776.936 -2452.37 -4065.6 3147.18 2238.37 1282.2 6843.37 -3600.83 
-5434.47 13027.9 -5284.47 872.863 7871.41 -4229.67 1592.09 248.059 7667.17 -1271.35 -4010.8 -6645.59 5144.37 3660.58 2096.67 11186.1 -5885.92 
6185.81 -14828.5 6015.31 -993.798 -8960.3 4813.22 -1812.38 -282.769 -8726.83 1447.36 4564.64 7562.79 -5855.22 -4165.64 -2385.31 -12732.1 6697.98 
-7117.45 17060.3 -6921.37 1142.36 10310.3 -5539.89 2084.57 326.57 10040.4 -1666.05 -5251.17 -8703.72 6736.29 4793.11 2746.11 14649.6 -7707.54 
-1737.96 4167.99 -1689.59 279.115 2518.49 -1353.68 508.299 80.5656 2453.31 -405.895 -1283.17 -2125.27 1645.17 1171.44 669.696 3577.61 -1881.93 
12371.6 -29653 12028.5 -1986.06 -17918.3 9627.77 -3623.79 -566.365 -17451.6 2895.19 9127.68 15124.9 -11707.2 -8331.39 -4771.61 -25460.5 13397.3 
15723 -37686.1 15288 -2523.24 -22773.5 12236.7 -4604.2 -719.546 -22179.9 3678.66 11601.8 19223.5 -14880.4 -10589 -6063.27 -32361.2 17025.4 
-6830.45 16373.2 -6642.54 1096.2 9895.19 -5317.14 2000.58 313.547 9636.78 -1598.96 -5039.83 -8351.71 6464.7 4599.66 2634.53 14058.8 -7397.64 
7476.48 -17920.3 7268.93 -1200.44 -10828.5 5818.85 -2189.4 -341.999 -10547.8 1749.38 5517.42 9141.34 -7074.9 -5036.23 -2883.89 -15389.3 8096.78 
-150.289 360.399 -146.451 24.3807 216.79 -116.112 44.4285 7.58403 212.153 -34.5852 -111.573 -183.776 141.265 101.827 58.4888 307.666 -161.662 
-2378.45 5700.73 -2312.25 381.576 3444.02 -1850.69 696.389 108.863 3354.71 -556.963 -1753.77 -2907.54 2251.36 1601.89 917.398 4894.32 -2574.61 
