-2704.29 -10972.8 1987.86 6390.29 -1472.08 1715.83 -12558.6 -11348.8 -11389 4709.45 -1682.81 -11511.3 1647.89 
1381.31 5601.68 -1014.38 -3262.3 752.067 -876.728 6410.92 5792.32 5814.57 -2404.06 859.028 5876.33 -841.228 
5264.48 21354.1 -3868.38 -12436.3 2865.97 -3340.22 24439.6 22087.6 22165.2 -9164.57 3275.83 22401.9 -3208.31 
-3691.47 -14973.4 2711.89 8720.01 -2010.85 2341.84 -17136.5 -15487.3 -15542.9 6427.34 -2295.38 -15706.9 2249.06 
-4719.99 -19149.2 3470.18 11152.1 -2569.86 2996.15 -21916.2 -19805.8 -19877 8219.68 -2937.45 -20089.1 2877.7 
1970.24 7992.23 -1448.46 -4654.55 1073.57 -1250.27 9147.27 8266.76 8296.32 -3430.73 1226.08 8384.52 -1201.74 
-3728.34 -15129 2741.56 8811.43 -2030.29 2367.45 -17313 -15647.1 -15703.2 6492.53 -2319.69 -15869.6 2274.15 
3601.24 14610.5 -2647.7 -8509.61 1960.99 -2285.84 16721.4 15112.6 15165.4 -6270.38 2240.44 15327.9 -2195.35 
-960.064 -3892.31 705.27 2267.35 -523.121 608.129 -4453.37 -4024.65 -4040.5 1670.34 -595.942 -4082.99 584.578 
-2148.98 -8721.24 1579.36 5079.58 -1170.56 1363.52 -9980.56 -9020.17 -9052.32 3743.82 -1337.07 -9148.8 1310.67 
6538.56 26520.7 -4805.7 -15445.9 3560.27 -4147.84 30352.5 27431.1 27528.8 -11383.5 4068.03 27823.5 -3984.15 
